title,author,category,price,publicationYear,description,imageUrl
Rừng Nauy (Tái Bản),Haruki Murakami,Tiểu Thuyết,90000,2000,,https://salt.tikicdn.com/ts/product/c9/e4/18/a9cfc425fa590c453f20307229804bb3.jpg
Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,Truyện ngắn - Tản văn - Tạp Văn,144000,2000,,https://salt.tikicdn.com/ts/product/f7/fb/9a/e8b9a94478dc887c4b84b6b6439f6335.jpg
Sự Im Lặng Của Bầy Cừu (Tái Bản),Thomas Harris,Truyện dài,69000,2000,,https://salt.tikicdn.com/ts/product/cd/2a/5b/926ca6c7b295c6e7cea39390efe08968.jpg
Tâm Lý Học Về Tiền,Morgan Housel,"Sách tài chính, tiền tệ",133000,2000,,https://salt.tikicdn.com/ts/product/83/23/b7/14a42ae4f66c9b8b298aaef4b9671442.jpg
Bố Con Cá Gai (Tái Bản 2019),Cho Chang - In,Tiểu Thuyết,57600,2000,,https://salt.tikicdn.com/ts/product/85/b4/a3/dc8b8311f434cc946563963bc8e30071.jpg
Xứ Cát,Frank Herbert,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,149400,2000,,https://salt.tikicdn.com/ts/product/b4/f0/81/5d5e4a26cb029fdecd04e0c30cbef17a.jpg
Sự Im Lặng Của Bầy Cừu (Tái Bản),Thomas Harris,Truyện dài,69000,2000,,https://salt.tikicdn.com/ts/product/cd/2a/5b/926ca6c7b295c6e7cea39390efe08968.jpg
Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),Rosie Nguyễn,Sách tư duy - Kỹ năng sống,54000,2000,,https://salt.tikicdn.com/ts/product/56/ce/23/64b2eaa5b859d8ba1412f1b350c3e128.jpg
"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",Tống Mặc,Sách tư duy - Kỹ năng sống,57001,2000,,https://salt.tikicdn.com/ts/product/70/9a/98/e6d54019a2079b9565114bce93b245b7.jpg
Hiệu Sách Nhỏ Ở Paris,Nina George,Tiểu Thuyết,89400,2000,,https://salt.tikicdn.com/ts/product/7c/0d/6c/8fcbd6abc1ac716d07b3593f9b97f53b.jpg
Tiếng Núi,Kawabata Yasunari,Tác phẩm kinh điển,132000,2000,,https://salt.tikicdn.com/ts/product/06/b0/b9/7ab33a63c472dddb0310a528119118b9.jpg
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,Truyện ngắn - Tản văn - Tạp Văn,63000,2000,,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg
Bắt Trẻ Đồng Xanh (Tái Bản 2020),Jerome David Salinger,Tiểu Thuyết,52800,2000,,https://salt.tikicdn.com/ts/product/65/74/fb/1e6ca7a2fa28d83667a8e50144e43d0d.jpg
1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà Tàng,Trần Đặng Đăng Khoa,Du ký,262000,2000,,https://salt.tikicdn.com/ts/product/16/99/f6/b1b3d72f9802de5ae8ae20d641fd1e63.jpg
Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,Sách tư duy - Kỹ năng sống,93001,2000,,https://salt.tikicdn.com/ts/product/cb/79/53/7cf60ac4e52cb3f61aa1b4986a0efee6.jpg
Phía Sau Nghi Can X (Tái Bản 2019),Higashino Keigo,Truyện trinh thám,65400,2000,,https://salt.tikicdn.com/ts/product/23/56/86/a538698ead7dc2f693d1e9778417317d.jpg
Nàng Tóc Đỏ (Nobel Văn Chương 2006),Yu Sato,Tác phẩm kinh điển,66000,2000,,https://salt.tikicdn.com/ts/product/3d/3e/d8/bdc5a3edcd4ecd6bb91895ffb67cbe11.jpg
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,Sách tư duy - Kỹ năng sống,135300,2000,,https://salt.tikicdn.com/ts/product/0a/f6/38/bc10734989977da424642a1c4750eee2.jpg
